scenarioID	Nanc	Ncur	Time
scenario1	4782	5683	489
scenario2	3985	7434	86
scenario3	4051	7730	322
scenario4	3164	8892	851
scenario5	2126	5157	172
scenario6	424	5835	244
scenario7	5087	199	165
scenario8	3977	144	122
scenario9	3575	132	114
scenario10	1621	83	74
scenario11	4674	11665	264
scenario12	4021	11660	166
scenario13	3400	11268	542
scenario14	4597	11182	203
scenario15	3880	9094	232
scenario16	3331	10548	606
scenario17	2002	12134	840
scenario18	387	7884	6
scenario19	87	3043	1
scenario20	5110	282	183
scenario21	3619	6975	122
scenario22	3554	50	43
scenario23	1724	90	78
scenario24	4319	24	2113
scenario25	3311	12838	281
scenario26	1765	1229	416
scenario27	1366	727	664
scenario28	1119	792	738
scenario29	1388	850	835
scenario30	1194	1344	936
scenario31	2123	4999	131
scenario32	2773	4074	390
scenario33	1579	22707	38
scenario34	1227	26628	635
scenario35	3277	13900	42
scenario36	3741	11806	61
scenario37	2122	5479	196
scenario38	2092	5434	135
