scenarioID	gamma	lambda	f1	f2
scenario1	16	0.00407	0.00025	0.00025
scenario2	43	0.07362	0.00187	0.00186
scenario3	138	0.02792	0.00021	0.00021
scenario4	79	0.06707	0.00091	9e-04
scenario5	119	0.20603	0.0022	0.00218
scenario6	396	0.23405	8e-04	0.00077
scenario7	984	0.20985	3e-04	0.00027
scenario8	1259	0.19212	0.00021	0.00019
scenario9	1376	0.19748	2e-04	0.00018
scenario10	1779	0.20803	0.00018	0.00015
scenario11	0	2e-04	1	1
scenario12	19	0.0727	0.00411	0.0041
scenario13	101	0.06601	0.00071	7e-04
scenario14	1	5e-05	0.96557	0.96555
scenario15	29	0.06567	0.0024	0.00239
scenario16	91	0.08446	0.00102	0.00101
scenario17	134	0.18576	0.00172	0.0017
scenario18	1055	0.29681	0.00044	4e-04
scenario19	2318	0.52776	0.00062	0.00052
scenario20	613	0.05255	1e-04	9e-05
scenario21	998	0.05577	7e-05	6e-05
scenario22	2080	0.1807	0.00013	0.00011
scenario23	2058	0.22939	0.00018	0.00015
scenario24	638	0.05039	9e-05	8e-05
scenario25	951	0.05105	6e-05	6e-05
scenario26	130	0.21761	0.00216	0.00214
scenario27	236	0.22669	0.00127	0.00124
scenario28	429	0.30843	0.00108	0.00104
scenario29	244	0.22861	0.00124	0.00121
scenario30	245	0.22319	0.0012	0.00117
scenario31	132	0.21184	0.00206	0.00204
scenario32	1834	0.03451	2e-05	2e-05
scenario33	201	0.21651	0.0014	0.00137
scenario34	1857	0.03687	2e-05	2e-05
scenario35	1124	0.05179	5e-05	5e-05
scenario36	1741	0.04937	4e-05	3e-05
scenario37	133	0.2113	0.00203	0.00201
scenario38	121	0.22643	0.00244	0.00241
