simID	Nanc	Ncur	Time
sim1	8173	997	173
sim2	2225	158	46
sim3	12716	3440	45
sim4	13844	11	11
sim5	54	24703	2217
sim6	259	30459	10020
sim7	56	32	25
sim8	196	629	37
sim9	3959	20	16
sim10	21	535	13
sim11	10190	21	10
sim12	15907	21	19
sim13	62	44059	257
sim14	24	81	48
sim15	1256	1486	24
sim16	1380	293	71
sim17	8744	29	29
sim18	2570	171	103
sim19	205	209	14
sim20	318	307	283
sim21	17	155	25
sim22	636	107	56
sim23	3441	16184	169
sim24	34	2528	2312
sim25	23	753	17
sim26	17	174	99
sim27	13	683	23
sim28	343	156	13
sim29	13955	5776	217
sim30	444	3716	686
sim31	610	142	118
sim32	43	1463	67
sim33	14	341	320
sim34	17336	2469	21
sim35	1794	984	20
sim36	417	98	49
sim37	5010	2041	199
sim38	116	4072	3968
sim39	528	68	12
sim40	254	11	11
sim41	143	15	12
sim42	3092	4947	3961
sim43	101	16326	239
sim44	134	61	12
sim45	34	20594	23
sim46	15	236	24
sim47	28816	17	13
sim48	7408	28	11
sim49	4053	37	34
sim50	392	73	60
sim51	22	67	17
sim52	11790	107	14
sim53	5049	4857	24
sim54	224	48162	448
sim55	525	848	134
sim56	403	6142	13
sim57	15	129	39
sim58	6286	5630	5190
sim59	3463	28	18
sim60	34838	241	34
sim61	53	20	18
sim62	273	10	10
sim63	96	477	14
sim64	121	15927	2459
sim65	2916	89	31
sim66	1519	65	48
sim67	2522	1954	37
sim68	15	148	23
sim69	657	44031	35
sim70	564	92	22
sim71	15	773	243
sim72	45	47788	22386
sim73	1912	86	13
sim74	10007	118	33
sim75	50	3750	2071
sim76	110	138	19
sim77	7656	1122	468
sim78	484	6088	839
sim79	15010	617	44
sim80	1717	78	15
sim81	76	16	16
sim82	352	15240	7104
sim83	9860	167	148
sim84	73	1225	73
sim85	991	401	33
sim86	297	177	30
sim87	678	1696	34
sim88	20798	44277	43312
sim89	17862	7268	44
sim90	28709	38230	20388
sim91	190	143	28
sim92	871	22488	25
sim93	107	57	19
sim94	1016	49	21
sim95	291	15878	9817
sim96	37890	579	241
sim97	11182	34889	62
sim98	1045	1946	218
sim99	1672	174	11
sim100	34	22	21
sim101	306	14561	171
sim102	84	568	26
sim103	25430	14535	1024
sim104	3466	85	27
sim105	238	174	83
sim106	34338	636	15
sim107	11304	104	66
sim108	11034	491	304
sim109	6534	59	50
sim110	57	2058	1236
sim111	546	5205	38
sim112	31	15	10
sim113	11529	13119	1818
sim114	46293	1674	53
sim115	23934	19939	3448
sim116	871	82	37
sim117	31319	48	34
sim118	3809	315	37
sim119	46904	2309	2219
sim120	2518	10456	9627
sim121	63	49936	260
sim122	39	11	10
sim123	2371	1395	83
sim124	2793	74	29
sim125	753	5423	65
sim126	871	29453	4490
sim127	960	20193	5093
sim128	8304	63	29
sim129	5735	3853	48
sim130	1080	1981	789
sim131	4525	35	31
sim132	1951	813	16
sim133	724	47	17
sim134	13135	7484	60
sim135	333	14910	616
sim136	56	4283	726
sim137	11	6249	10
sim138	49656	752	744
sim139	12572	13	10
sim140	29	17600	209
sim141	211	165	88
sim142	74	222	49
sim143	230	94	91
sim144	14	15	11
sim145	6935	9574	173
sim146	12	15	11
sim147	11	11	11
sim148	40064	24	17
sim149	12995	15804	742
sim150	142	377	43
sim151	370	1507	845
sim152	680	3625	18
sim153	59	750	14
sim154	207	7147	167
sim155	61	652	11
sim156	12	502	483
sim157	3007	9930	446
sim158	565	5697	104
sim159	6825	72	46
sim160	33	21	17
sim161	949	1607	589
sim162	1146	19	17
sim163	2402	276	27
sim164	858	19460	10205
sim165	1598	77	11
sim166	748	50	24
sim167	32762	65	33
sim168	15	9015	1698
sim169	45	5411	144
sim170	12642	225	60
sim171	506	408	143
sim172	19	74	50
sim173	31926	774	571
sim174	22959	5641	152
sim175	2074	362	185
sim176	128	697	44
sim177	26	284	192
sim178	37107	7322	1854
sim179	4429	35118	529
sim180	653	92	53
sim181	834	10597	1709
sim182	1030	973	29
sim183	38193	37	18
sim184	137	1086	210
sim185	323	29	17
sim186	1455	67	63
sim187	13	12	11
sim188	2145	21	10
sim189	70	214	102
sim190	11011	113	73
sim191	25298	7292	1441
sim192	2804	10488	307
sim193	4749	8053	34
sim194	125	178	11
sim195	11346	2264	30
sim196	21	76	38
sim197	9776	34365	24741
sim198	51	3010	13
sim199	274	20235	11124
sim200	567	150	94
sim201	16	56	11
sim202	13	9942	187
sim203	36157	34335	14
sim204	9676	11061	207
sim205	18904	46746	370
sim206	3832	121	77
sim207	180	155	26
sim208	91	98	13
sim209	2393	378	103
sim210	3079	5518	220
sim211	8396	6361	72
sim212	1583	1765	344
sim213	55	593	552
sim214	49966	1437	1118
sim215	11522	13	11
sim216	17543	693	11
sim217	13875	27279	524
sim218	358	40	31
sim219	22	32	11
sim220	16	2174	750
sim221	61	30522	3289
sim222	10002	1438	212
sim223	1606	2387	13
sim224	10128	16680	8019
sim225	19909	16090	19
sim226	63	4363	4100
sim227	11089	31	28
sim228	60	212	17
sim229	28027	8250	1673
sim230	484	34	32
sim231	13249	23	14
sim232	22	459	140
sim233	14563	233	35
sim234	10	29	11
sim235	317	251	46
sim236	1107	614	341
sim237	33	30	11
sim238	770	12471	22
sim239	9254	267	190
sim240	1523	1360	40
sim241	81	23246	104
sim242	1034	702	11
sim243	297	6102	51
sim244	6091	22	15
sim245	13324	8641	5175
sim246	14	48	12
sim247	118	11	11
sim248	63	2135	13
sim249	11551	21	13
sim250	1650	56	14
sim251	76	8713	3526
sim252	330	221	55
sim253	296	45856	287
sim254	3834	3224	140
sim255	1691	12965	106
sim256	19065	57	27
sim257	4450	148	16
sim258	3649	22718	12
sim259	1786	56	13
sim260	1710	1108	27
sim261	17	538	212
sim262	34631	351	330
sim263	531	7487	12
sim264	18106	4466	1761
sim265	3525	10340	3700
sim266	10602	17	10
sim267	3991	371	94
sim268	297	142	87
sim269	1956	66	12
sim270	28	1847	43
sim271	62	12	11
sim272	106	207	25
sim273	93	463	24
sim274	4804	47272	24849
sim275	87	45544	180
sim276	39123	3347	1829
sim277	315	13	13
sim278	808	13400	10191
sim279	150	624	513
sim280	1640	199	10
sim281	54	134	10
sim282	98	1545	12
sim283	43	13	12
sim284	1761	1610	418
sim285	241	54	14
sim286	12757	915	32
sim287	563	352	42
sim288	2597	38	35
sim289	2201	21	11
sim290	22	1623	190
sim291	9173	671	216
sim292	107	6063	2148
sim293	4927	10	10
sim294	36	4021	330
sim295	758	59	36
sim296	1208	44	12
sim297	5444	3403	1161
sim298	41952	398	249
sim299	12	580	24
sim300	637	762	95
sim301	2112	843	25
sim302	19322	829	122
sim303	447	333	28
sim304	3900	97	11
sim305	1155	15	11
sim306	29484	32219	1433
sim307	19443	702	497
sim308	19003	19	16
sim309	32	26677	6497
sim310	130	2616	34
sim311	40	42387	1747
sim312	100	356	177
sim313	45195	1065	38
sim314	292	26590	3143
sim315	137	5307	403
sim316	5479	33127	26
sim317	4371	340	41
sim318	74	45266	11
sim319	1985	139	13
sim320	146	8523	6108
sim321	24940	10714	272
sim322	6184	3903	174
sim323	7168	11	11
sim324	248	110	10
sim325	970	697	586
sim326	25	13	11
sim327	673	205	37
sim328	38447	12314	318
sim329	1447	20162	895
sim330	257	2126	1019
sim331	118	20	17
sim332	18394	2166	10
sim333	308	38	30
sim334	14952	2515	20
sim335	1839	3102	2837
sim336	147	24	21
sim337	532	23	16
sim338	80	6901	551
sim339	296	15491	25
sim340	3092	410	33
sim341	230	926	295
sim342	12454	5352	126
sim343	83	19536	441
sim344	16000	6804	4733
sim345	37777	795	307
sim346	990	2781	336
sim347	27	118	15
sim348	8721	1685	131
sim349	27315	1497	336
sim350	27887	1660	87
sim351	17	2733	19
sim352	59	160	48
sim353	9966	2582	450
sim354	261	35120	20131
sim355	10823	36048	73
sim356	92	109	60
sim357	9506	1262	59
sim358	12398	35	25
sim359	256	2038	27
sim360	35	343	51
sim361	109	36425	338
sim362	86	31	13
sim363	164	92	12
sim364	20	356	104
sim365	2409	22	18
sim366	32	1342	52
sim367	244	618	67
sim368	33	42597	23
sim369	47	1697	68
sim370	523	1604	15
sim371	8623	2070	54
sim372	31	27705	201
sim373	30691	1015	242
sim374	12349	4082	20
sim375	64	28	18
sim376	46844	18395	7671
sim377	3778	447	211
sim378	96	5092	1005
sim379	44750	39	13
sim380	12821	21	12
sim381	1078	42	40
sim382	241	5668	16
sim383	2697	1108	655
sim384	2703	11	11
sim385	17802	1724	12
sim386	12	15	11
sim387	11684	69	35
sim388	914	6560	366
sim389	58	18	17
sim390	20	3656	63
sim391	28317	25	19
sim392	10655	13	12
sim393	4674	25	24
sim394	16	13114	63
sim395	202	20344	158
sim396	1554	640	331
sim397	23	3458	276
sim398	13	8892	20
sim399	848	14	10
sim400	2400	345	26
sim401	793	243	27
sim402	11447	31297	8086
sim403	85	3782	248
sim404	138	125	30
sim405	2644	188	106
sim406	8781	590	14
sim407	144	330	192
sim408	9196	60	14
sim409	13	1498	632
sim410	403	21	13
sim411	2481	5472	386
sim412	39497	7246	48
sim413	805	253	91
sim414	3532	607	344
sim415	321	28330	95
sim416	659	795	215
sim417	7902	1190	11
sim418	68	3261	609
sim419	7727	528	261
sim420	35560	1977	144
sim421	51	60	20
sim422	641	43	11
sim423	533	965	253
sim424	21	16	13
sim425	47	290	15
sim426	52	15154	1973
sim427	34390	64	17
sim428	121	1426	301
sim429	3114	18021	21
sim430	2060	1011	981
sim431	27861	19863	10442
sim432	12163	260	228
sim433	80	1265	347
sim434	164	135	11
sim435	2207	5100	508
sim436	471	19	14
sim437	84	7313	2856
sim438	40	4315	407
sim439	70	12	10
sim440	3021	10354	275
sim441	243	22926	351
sim442	10903	643	29
sim443	30	24	14
sim444	376	8113	13
sim445	1505	78	12
sim446	12	182	35
sim447	11	98	30
sim448	35687	33	26
sim449	216	6108	722
sim450	629	10	10
sim451	141	4924	2671
sim452	38	59	16
sim453	1083	75	18
sim454	60	163	122
sim455	118	138	17
sim456	14	20	18
sim457	12092	22211	11633
sim458	53	1626	492
sim459	703	47520	6300
sim460	3417	604	49
sim461	22	10117	446
sim462	13071	95	51
sim463	1192	1560	107
sim464	1018	121	113
sim465	10	33146	23
sim466	4221	11	11
sim467	49	2807	23
sim468	278	7318	30
sim469	70	3475	2007
sim470	19	56	31
sim471	14182	10	10
sim472	150	438	56
sim473	15017	2665	140
sim474	14	234	16
sim475	47	410	80
sim476	182	33532	259
sim477	142	34	30
sim478	49	4037	214
sim479	2695	8137	8032
sim480	18864	192	50
sim481	16	1553	37
sim482	16	160	38
sim483	1920	6861	2160
sim484	932	132	29
sim485	3546	13	11
sim486	108	493	31
sim487	239	26836	115
sim488	966	43	21
sim489	54	48	32
sim490	40017	23	16
sim491	19	42573	48
sim492	681	9093	4986
sim493	325	32559	334
sim494	1222	218	16
sim495	3067	64	31
sim496	973	20	11
sim497	25268	4942	30
sim498	25	22	12
sim499	12350	11	10
sim500	15	156	125
sim501	4136	3488	293
sim502	14	11	10
sim503	204	26394	49
sim504	77	749	83
sim505	9748	22	10
sim506	457	24	14
sim507	57	39	21
sim508	284	7278	101
sim509	32690	486	407
sim510	12548	558	19
sim511	234	25454	90
sim512	19	743	17
sim513	14	273	84
sim514	22646	32918	7231
sim515	2737	707	335
sim516	270	47549	69
sim517	25732	7278	6219
sim518	53	47	16
sim519	5221	7585	1735
sim520	228	296	178
sim521	16	727	94
sim522	4719	32100	360
sim523	3272	6912	6335
sim524	39	48	34
sim525	29	6798	6304
sim526	6925	828	160
sim527	93	301	298
sim528	90	1596	538
sim529	104	366	254
sim530	16	217	91
sim531	373	14	12
sim532	558	28093	11456
sim533	118	1359	146
sim534	1234	133	35
sim535	75	102	97
sim536	275	7039	1152
sim537	11852	1670	15
sim538	65	3567	27
sim539	19620	15004	444
sim540	11	6071	2143
sim541	97	74	26
sim542	34	15854	8021
sim543	1043	209	90
sim544	38688	184	40
sim545	839	2521	1105
sim546	106	104	17
sim547	37302	15994	57
sim548	428	18	16
sim549	10116	49524	341
sim550	364	189	75
sim551	101	181	42
sim552	1408	4963	2079
sim553	39	13	11
sim554	189	23149	77
sim555	19595	3092	76
sim556	11	236	11
sim557	421	5131	839
sim558	11491	1752	737
sim559	56	5436	33
sim560	76	51	19
sim561	137	799	22
sim562	35	16	10
sim563	403	2354	83
sim564	324	2018	355
sim565	4956	79	25
sim566	224	38	11
sim567	5231	15	11
sim568	525	86	30
sim569	26	782	155
sim570	2531	25	21
sim571	1429	28	21
sim572	239	25307	1752
sim573	153	355	51
sim574	22	1220	16
sim575	104	9432	73
sim576	25	17705	2812
sim577	1925	410	23
sim578	4465	8359	190
sim579	1706	1343	45
sim580	19396	1805	190
sim581	28	485	30
sim582	23	4141	1196
sim583	32	2263	328
sim584	262	99	14
sim585	12	1332	33
sim586	37	9064	106
sim587	17047	9630	742
sim588	41831	86	39
sim589	41	2697	1549
sim590	44	36879	36
sim591	19012	567	220
sim592	25	1146	139
sim593	137	5929	1143
sim594	29	29	16
sim595	1644	149	24
sim596	22845	30	14
sim597	253	2483	1534
sim598	28	187	27
sim599	12	640	25
sim600	138	2893	87
sim601	64	1459	70
sim602	4262	2792	205
sim603	43	9018	124
sim604	197	28	21
sim605	5291	37305	619
sim606	567	89	62
sim607	3397	3754	287
sim608	50	123	53
sim609	35	16	11
sim610	312	100	59
sim611	14	355	42
sim612	229	488	19
sim613	19	109	14
sim614	14	26099	405
sim615	5404	10	10
sim616	464	270	259
sim617	21	17961	187
sim618	132	911	167
sim619	3780	47565	1064
sim620	1108	25	22
sim621	416	40665	21683
sim622	11640	1014	585
sim623	77	29571	4890
sim624	45	670	294
sim625	19	3194	335
sim626	14	224	18
sim627	140	11121	4204
sim628	73	3891	3027
sim629	416	3205	354
sim630	165	33169	5613
sim631	18	198	92
sim632	20	70	22
sim633	11404	12	10
sim634	736	481	12
sim635	147	18295	17
sim636	5250	104	12
sim637	1310	46	25
sim638	47	48	20
sim639	870	172	14
sim640	177	1307	351
sim641	2361	36	14
sim642	466	62	50
sim643	33	15137	793
sim644	24	89	14
sim645	17	230	39
sim646	11746	15	14
sim647	10085	158	62
sim648	42	529	41
sim649	5591	456	27
sim650	108	216	19
sim651	373	418	87
sim652	70	2098	38
sim653	475	610	27
sim654	4081	15676	62
sim655	89	29	15
sim656	266	219	66
sim657	140	400	353
sim658	76	1507	105
sim659	3387	5103	4972
sim660	1137	385	100
sim661	1025	157	45
sim662	339	11	11
sim663	222	14	11
sim664	52	349	192
sim665	79	2352	38
sim666	105	299	270
sim667	32196	418	70
sim668	21800	8062	288
sim669	1303	78	48
sim670	4686	5880	11
sim671	9717	102	57
sim672	1015	26356	2425
sim673	2849	44901	1392
sim674	107	59	19
sim675	130	12628	256
sim676	14060	2199	1171
sim677	24	13472	349
sim678	248	9321	999
sim679	179	19974	25
sim680	1288	184	121
sim681	19729	362	23
sim682	367	45024	3131
sim683	2153	3136	309
sim684	32485	14197	15
sim685	30980	28717	22
sim686	3787	6554	5512
sim687	248	3537	26
sim688	26	363	166
sim689	83	562	249
sim690	11382	283	131
sim691	44	390	303
sim692	17383	11	10
sim693	9253	3415	565
sim694	5719	12434	222
sim695	52	277	12
sim696	72	45253	18932
sim697	59	195	66
sim698	85	19	17
sim699	34	34453	2551
sim700	24	570	402
sim701	4481	6018	119
sim702	61	1607	225
sim703	3524	8606	2405
sim704	11723	26583	2207
sim705	1477	17766	5621
sim706	3405	5782	2102
sim707	4467	22	17
sim708	18592	2992	10
sim709	32	780	350
sim710	26	1892	158
sim711	73	101	75
sim712	22	557	76
sim713	18	1026	26
sim714	5706	206	48
sim715	12287	17	15
sim716	37	39	11
sim717	201	71	21
sim718	76	46647	29765
sim719	5108	16	12
sim720	3258	8270	54
sim721	26696	13461	11733
sim722	24458	66	33
sim723	5376	125	75
sim724	22517	31196	746
sim725	2153	377	12
sim726	1332	307	19
sim727	2042	2395	321
sim728	733	3909	397
sim729	76	27	11
sim730	166	116	20
sim731	19	2880	140
sim732	1748	22545	564
sim733	24196	15571	80
sim734	2375	20	15
sim735	14	860	230
sim736	31700	4840	122
sim737	336	51	24
sim738	2570	861	442
sim739	77	8386	3971
sim740	47747	209	192
sim741	25	123	13
sim742	6471	49	42
sim743	97	148	26
sim744	53	14515	34
sim745	118	9535	3031
sim746	9546	41169	22
sim747	13651	73	51
sim748	128	13	11
sim749	15	2320	978
sim750	7432	223	69
sim751	41	51	15
sim752	1620	2268	136
sim753	2272	1456	35
sim754	1556	47	13
sim755	62	174	50
sim756	5248	171	17
sim757	67	449	177
sim758	689	48977	10
sim759	14984	74	32
sim760	24135	7916	417
sim761	26090	23853	15687
sim762	26	301	70
sim763	11	78	40
sim764	172	663	16
sim765	28187	33140	1740
sim766	23	990	74
sim767	101	16	14
sim768	6755	397	19
sim769	39	35	15
sim770	102	124	26
sim771	140	56	31
sim772	92	17	13
sim773	39151	19	15
sim774	43	201	13
sim775	10186	15401	316
sim776	58	1195	109
sim777	23	594	110
sim778	113	20	14
sim779	6825	449	17
sim780	211	292	11
sim781	3884	1669	15
sim782	148	204	53
sim783	1705	499	11
sim784	3254	11	11
sim785	75	104	21
sim786	2626	2437	75
sim787	672	689	30
sim788	13	79	25
sim789	585	5474	67
sim790	758	1983	135
sim791	1248	5033	51
sim792	561	12	11
sim793	943	1125	13
sim794	3126	161	13
sim795	24	164	57
sim796	405	49431	188
sim797	49571	17961	199
sim798	13984	12546	13
sim799	27	28747	7085
sim800	3450	64	46
sim801	2236	72	51
sim802	17596	16	14
sim803	59	10780	235
sim804	2205	21979	884
sim805	15542	229	63
sim806	350	23	14
sim807	5854	85	15
sim808	9392	55	24
sim809	13	7032	39
sim810	46263	125	15
sim811	12839	2001	818
sim812	122	34448	14
sim813	2530	297	243
sim814	12	39	34
sim815	8658	159	125
sim816	29	280	22
sim817	3399	18779	59
sim818	1023	7772	134
sim819	2924	186	27
sim820	56	15215	95
sim821	19	2087	17
sim822	12957	736	663
sim823	17317	28768	17
sim824	83	170	84
sim825	106	2595	363
sim826	19	11207	175
sim827	5878	82	30
sim828	495	83	63
sim829	18	16205	7978
sim830	93	863	39
sim831	48790	27873	19216
sim832	113	140	16
sim833	512	1304	509
sim834	14	1554	318
sim835	158	34295	33138
sim836	482	25	11
sim837	114	6085	23
sim838	48109	17	12
sim839	13014	335	128
sim840	71	54	33
sim841	8642	20465	54
sim842	3169	1350	426
sim843	17	103	15
sim844	294	14	14
sim845	368	21	12
sim846	1718	32147	232
sim847	326	796	56
sim848	437	56	25
sim849	11423	32010	181
sim850	1542	25	17
sim851	11377	26	14
sim852	29703	69	45
sim853	1994	5415	598
sim854	563	994	162
sim855	260	4880	1637
sim856	121	225	116
sim857	38	1862	39
sim858	43377	31906	27
sim859	43622	18	17
sim860	2099	24326	42
sim861	42	62	61
sim862	44540	28	20
sim863	875	27	15
sim864	54	244	13
sim865	43041	17160	13
sim866	19	1350	74
sim867	14	11	10
sim868	14939	43	25
sim869	4648	37	12
sim870	1115	290	67
sim871	42395	5652	2219
sim872	18851	1144	399
sim873	860	7134	658
sim874	271	11	11
sim875	4174	13	13
sim876	33999	1171	618
sim877	5767	4592	928
sim878	7014	10	10
sim879	23512	28719	4836
sim880	20	43	27
sim881	79	796	91
sim882	1236	46966	18
sim883	593	10	10
sim884	11	11	10
sim885	400	7776	56
sim886	27769	406	85
sim887	18456	7576	1542
sim888	433	314	36
sim889	9658	7539	67
sim890	1116	84	65
sim891	13068	106	12
sim892	15983	566	160
sim893	2373	47404	686
sim894	35487	1442	80
sim895	9975	31156	860
sim896	1874	54	51
sim897	25732	162	34
sim898	17	180	65
sim899	26881	1122	614
sim900	17	4797	85
sim901	1780	3345	1357
sim902	41	2287	234
sim903	20	2998	929
sim904	4606	15623	240
sim905	1828	3185	65
sim906	496	511	35
sim907	48	30537	19
sim908	20079	35374	14
sim909	84	154	43
sim910	54	2509	2174
sim911	29	153	12
sim912	281	30647	88
sim913	32889	11689	1349
sim914	376	1550	45
sim915	58	5451	75
sim916	185	4672	517
sim917	15	8647	449
sim918	1018	150	14
sim919	11	2727	132
sim920	5886	27	23
sim921	832	60	31
sim922	1889	19	13
sim923	48472	3979	31
sim924	39176	7984	14
sim925	6210	964	289
sim926	4003	572	85
sim927	37727	33	16
sim928	415	10688	181
sim929	5663	164	11
sim930	13622	23371	45
sim931	8984	10090	39
sim932	1156	13107	23
sim933	198	43	23
sim934	71	5222	1201
sim935	189	3695	1420
sim936	7401	503	121
sim937	7814	28904	477
sim938	13	642	174
sim939	450	9797	2136
sim940	20	33218	448
sim941	99	11	10
sim942	44940	2927	80
sim943	95	98	88
sim944	8580	41	11
sim945	9134	6718	89
sim946	22	22790	44
sim947	13882	12185	68
sim948	22933	4705	30
sim949	25100	33	23
sim950	9251	16	12
sim951	11	41	28
sim952	447	4508	3961
sim953	46	15864	788
sim954	2568	133	13
sim955	2367	62	36
sim956	39775	1851	20
sim957	824	2510	102
sim958	2848	11226	112
sim959	43	5843	394
sim960	463	14462	11578
sim961	2579	34702	31480
sim962	5455	127	22
sim963	27648	146	30
sim964	563	455	14
sim965	22	104	79
sim966	1350	44	16
sim967	46	26	21
sim968	12784	18	14
sim969	893	30364	174
sim970	1078	281	10
sim971	36853	406	340
sim972	188	59	10
sim973	30	838	33
sim974	1686	32617	7851
sim975	13103	1997	406
sim976	1036	194	90
sim977	15	6038	23
sim978	23315	10604	158
sim979	86	894	494
sim980	2255	23649	26
sim981	232	672	94
sim982	14	3961	975
sim983	982	3031	12
sim984	5346	7576	26
sim985	741	14	14
sim986	15503	139	95
sim987	317	9979	4419
sim988	1323	2693	26
sim989	688	41	17
sim990	6813	251	21
sim991	143	12785	8789
sim992	51	22193	19
sim993	23	40	35
sim994	110	25	22
sim995	4443	3002	10
sim996	221	12459	3105
sim997	18779	40922	486
sim998	92	42412	19027
sim999	22479	48	11
sim1000	1983	57	11
sim1001	893	11322	1210
sim1002	12	892	69
sim1003	5893	3395	38
sim1004	65	53	19
sim1005	394	4333	354
sim1006	2631	154	17
sim1007	88	422	240
sim1008	20856	36789	20
sim1009	151	16810	1198
sim1010	69	345	193
sim1011	8124	139	34
sim1012	1141	32	18
sim1013	88	6704	56
sim1014	38	2064	168
sim1015	376	840	365
sim1016	14	1408	54
sim1017	28837	14532	27
sim1018	22841	55	28
sim1019	55	5345	29
sim1020	30428	108	14
sim1021	11402	919	26
sim1022	49996	13	12
sim1023	80	26	11
sim1024	12	77	42
sim1025	3295	83	11
sim1026	36361	3812	11
sim1027	4649	294	157
sim1028	69	916	86
sim1029	46665	3532	15
sim1030	35	66	28
sim1031	1824	11749	15
sim1032	4296	71	20
sim1033	23547	11214	131
sim1034	26	912	23
sim1035	24377	39	31
sim1036	2377	79	31
sim1037	1198	765	20
sim1038	101	5035	15
sim1039	16	583	137
sim1040	41534	16399	55
sim1041	24	58	32
sim1042	41	22372	5954
sim1043	14625	12840	153
sim1044	549	14310	2977
sim1045	1950	35	13
sim1046	1679	12821	12570
sim1047	16	1862	831
sim1048	191	35	11
sim1049	46	150	14
sim1050	37262	13	12
sim1051	42263	14	10
sim1052	350	1149	1111
sim1053	5666	5173	105
sim1054	59	1550	69
sim1055	42	11232	408
sim1056	7194	103	57
sim1057	2196	32	23
sim1058	26	136	49
sim1059	194	54	11
sim1060	63	5797	2937
sim1061	183	2563	30
sim1062	8095	564	14
sim1063	41	1210	395
sim1064	40765	2825	204
sim1065	2064	545	136
sim1066	3541	26	16
sim1067	50	226	63
