simID	gamma	f
sim1	43	0.00018740264748617587
sim2	3482	2.2834635217866248e-05
sim3	1	1.4653887767524802e-05
sim4	1	1.7124741913108003e-05
sim5	1	0.00010902175665542396
sim6	5427	2.3317201432849886e-05
sim7	291	0.00595851879457053
sim8	90	0.005447843776202304
sim9	6	0.0029874873318329713
sim10	4	0.00021908322370091995
sim11	244	0.0030818088206603016
sim12	488	0.00019239795096749073
sim13	36	4.754196183961734e-05
sim14	4	0.004423522598361497
sim15	1973	9.724230087915884e-05
sim16	0	0.00206689794455783
sim17	701	1.298226611299683e-05
sim18	0	0.0023428952777137524
sim19	201	0.0013571077226851094
sim20	63	0.00037925646479478113
sim21	330	0.004477283756173087
sim22	0	2.4850401131325263e-05
sim23	729	0.004148307082388453
sim24	1	3.0118679021931556e-05
sim25	2	0.0037676834227289226
sim26	85	0.0003101346237741059
sim27	1	7.312037918998042e-05
sim28	2975	1.2642101343454506e-05
sim29	0	0.005894041628468731
sim30	11	4.19091822652839e-05
sim31	0	0.0006445034426848542
sim32	3	1.2611701671877961e-05
sim33	2	0.00034735029542770553
sim34	61	0.00048107535682255406
sim35	0	0.0009508660098966948
sim36	4634	0.0001962385122725853
sim37	102	0.009504478477724749
sim38	272	0.0014163644423520862
sim39	449	0.005839237501968578
sim40	2	0.00032028131907636565
sim41	8	0.00010618230020041773
sim42	91	0.009599079460359504
sim43	490	0.00040825687937318073
sim44	0	0.007297726071099059
sim45	2	0.00919123958302441
sim46	0	0.00012030084592471572
sim47	77	0.0007669235251271341
sim48	5	1.3353170383722577e-05
sim49	4	1.7400867629724504e-05
sim50	2	0.0005619057258956827
sim51	1	8.23438326116716e-05
sim52	1	0.003244683867087954
sim53	2	0.0017733322437526776
sim54	168	0.0006677937537403869
sim55	0	3.7771598466606975e-05
sim56	573	6.655915793116414e-05
sim57	46	2.074814314009779e-05
sim58	7	0.00044562258220960725
sim59	28	0.0031478132542119832
sim60	20	0.0011613054669141695
sim61	357	7.221945743811987e-05
sim62	129	0.0005933124780025396
sim63	79	1.3690454468998992e-05
sim64	1	1.9827436295098792e-05
sim65	1	0.00012083424580394897
sim66	2	2.6792513234369155e-05
sim67	6631	0.008513505628098002
sim68	5	0.00010877031019957026
sim69	138	0.0033839489015654338
sim70	86	0.0010423927418042685
sim71	18	0.0012822659597248982
sim72	3	0.0004681259049209586
sim73	45	0.0004507165742935177
